slug	name	cat	city	rating	count	summary	r1	r2
soowon-galbi-34.0564_-118.2914	Soowon Galbi	Korean BBQ Restaurant	Los Angeles	4.5	1316	Korean BBQ fans fire up combo plates of beef short ribs & pork belly with sides in a comfy setting.	Wow! I had an amazing experience, especially our server who grilled our kalbi for us. He basically did a table side show and grilled our kalbi to perfection 🕺✨ very impressed. We honestly ordered too much and they kindly let us kn	Excellent banchan. I refilled four times. Best kimchi I've ever had. Galbi is superb. Bulgogin is excellent. Angus short rib is superb. Spicy pork is OK. Chicken is surprisingly very good. $140 combo will for sure feed four. They 
elorea-34.0638_-118.2982	Elorea	Perfume Store	Los Angeles	4.5	77		Worth a visit just for the views and free smells. Great little spot hidden in Ktown. Some really interesting scents, and thoughtful and delicious drinks to pair with it. The perfume itself smelled great and they do a good job with	Elorea is a must-visit spot in Koreatown. Everything here feels like stepping into Seoul — from the atmosphere to the beautifully curated interior design and display details. The drinks are definitely the highlight, inspired by pe
adhor-milk-farms-historic-site-34.132_-118.147	Adhor Milk Farms historic site	Historic Place	Pasadena	3.8	4		The owner of the dairy farms, rhoda rindge adamson has a beautiful home in Malibu, CA very worth a visit to all!	The historical landmark is because of the Neon Light sign from back in 1920s. There is no dairy farm anymore but it's a restaurant called Howlin Ray's which has kept the Neon sign as a homage to a long lost business with a popping
bts-pop-up-34.0836_-118.3632	BTS Pop-Up	Collectibles Store	Los Angeles	4.5	286		HORRIBLE EXPERIENCE!!! i’ve been to the hello82 in san diego before and had amazing experiences with the staff. this time, i decided to go the LA location for the Plave pop up that started just today. I was deeply disappointed wit	We were in town for a Kpop concert and stopped in the following day. It is a cute place with fun experiences and socializing. My daughter found some great items.
yoeechee-37.784_-122.4327	Yoeechee	Sushi Restaurant	San Francisco	4.4	23		I visited during dinner time, and everything was incredibly fresh with no fishy taste at all. The eel rice bowl was delicious, the eel had a nice chewy texture and was perfectly seasoned. The 6-piece nigiri sushi set was exactly w	The fish was incredibly fresh, and the portions were very generous, which is rare to find these days. Everything was absolutely delicious - the fish was tender and literally melted in my mouth. I loved the variety in the set and t
sushi-koto-33.7003_-117.953	Sushi Koto	Sushi Restaurant	Fountain Valley	4.5	499	Sushi & diverse Japanese offerings in a minimalist space with glass walls & dark furnishings.	Had a great lunch at Sushi Koto and was pleasantly surprised by the quality and value. I ordered the chirashi bowl for $22.95, and it was definitely worth it. The fish was very fresh, with a nice variety and clean flavors. Everyth	The chirashi bowl here is priced reasonably and of high quality. I also enjoy their random brunch buffet. While the variety is limited, each dish is delicious and fresh.
open-air-34.0836_-118.3707	Open Air	Clothing Store	Los Angeles	4	1060	Dine amid the twinkling greenhouse of the Line Hotel patio, where seasonal California fare awaits.	Perfect for a date. Beautiful glass dome nicely decorated with a nice bar in the background. We went for dinner but are strongly encouraged to go back for brunch. We tried two cocktails and both were great. We shared the ricotta f	We specifically chose Openaire because they were advertising this Koreatown Gwishin (Ghost) Dinner for Halloween, complete with immersive storytelling, Korean ghost lore, a Daegu fortune teller, and spooky dinner theatrics. We tho
jun-won-dak-34.0688_-118.307	Jun Won Dak	Korean Cuisine	Los Angeles	4.9	179		Our experience here was absolutely fantastic! 🤩 The food offered an explosion of unique tastes, unlike anything I've had before. The service was impeccable, truly top-notch. And the atmosphere? Simply wonderful, a perfect blend of	Wow, wow, wow, wow, wow. Hole in the wall place with amazing Korean food. Best Samgyetang we've had. Better than the one in the most famous restaurant in Korea. Eun-Daegu - Black Cod Braised black cod was so flavorful and good. Mu
devil-angel-desserts-33.8313_-118.3496	Devil & Angel Desserts	Ice Cream Shop		3.1	37		It's interesting coming to the mall and seeing the variety of food and drinks available. The food and drinks at devil & angels look amazing but they're nothing special that you can't buy anywhere else. A bit overpriced and the onl	I tried 2 things from there- black sugar milk tea and the Dubai covered strawberries. Honestly, the tea was pretty good; however, I totally feel the Dubai covered strawberries were basic. The experience itself was also basic, and 
rok-coffee-and-tea-34.0894_-118.2769	Rok Coffee and Tea	Coffee Shop	Los Angeles	4.2	306		Nice little spot in Koreatown. You can park in the little attached parking garage for 90 minutes or good luck finding street parking. Drinks are overpriced as with most spots like this. Matcha was seriously good. I don’t really li	Come before the lunch rush hour because the cafe fills up pretty quickly. Parking can be tough considering it’s only street parking available. I ordered the matcha duo. It was delicious, I can see why it is the most popular option
