name	category	price	lat	lng	address
Soowon Galbi	Korean BBQ Restaurant	$$	34.0564305	-118.2913795	856 S Vermont Ave, Unit B, Los Angeles, CA  90005, United States
Elorea	Perfume Store		34.0637745	-118.2981902	3511 W 6th St, FL 3, Los Angeles, CA  90020, United States
Adhor Milk Farms historic site	Historic Place		34.1319612	-118.1470268	800 S Arroyo Pkwy, Pasadena, CA  91105, United States
BTS Pop-Up	Collectibles Store		34.0835553	-118.3631867	7964 Melrose Ave, Los Angeles, CA  90046, United States
Yoeechee	Sushi Restaurant		37.7840445	-122.4326972	1552 Fillmore St, San Francisco, CA  94115, United States
Sushi Koto	Sushi Restaurant	$$	33.700308	-117.952967	18120 Brookhurst St, Unit 25, Fountain Valley, CA 92708, United States
Open Air	Clothing Store		34.0835535	-118.3706582	8302 Melrose Ave, Los Angeles, CA 90046, United States
Jun Won Dak	Korean Cuisine		34.0688466	-118.3070436	4254 W 3rd St, Los Angeles, CA  90020, United States
Devil & Angel Desserts	Ice Cream Shop		33.8313454	-118.3495681	3525 Carson St Torrance, CA 90503 United States
Rok Coffee and Tea	Coffee Shop		34.0893683	-118.2769284	3534 W Sunset Blvd, Los Angeles, CA  90026, United States
Mamie	Italian Cuisine	$$	34.0906217	-118.3616885	7900 Santa Monica Blvd, West Hollywood, CA  90046, United States
Pizzanista!	Pizza Restaurant	$	34.0347342	-118.2315753	2019 E 7th St, Los Angeles, CA  90021, United States
Bodega	Vietnamese Cuisine		37.7848759	-122.4092194	138 Mason St, San Francisco, CA 94102, United States
Duc Huong Sandwiches	Vietnamese Cuisine		37.331377	-121.8549711	1020 Story Rd, Unit C, San Jose, CA 95122, United States
Garden Creamery	Ice Cream Shop	$$	37.7587269	-122.4204045	3566 20th St, San Francisco, CA  94110, United States
Stan's Donut Shop	Donut Shop		37.3388433	-121.972889	2628 Homestead Rd, Santa Clara, CA 95051, United States
Parachute Bakery	Bakery		37.7961376	-122.3939054	1 Ferry Building, Unit 5, San Francisco, CA  94111, United States
Sasa	Sushi Restaurant	$$$	37.785182	-122.4292	22 Peace Plaza, Unit 530, San Francisco, CA 94115, United States
Hog Island Oyster Co.	Seafood Restaurant		37.7959	-122.3935057	The Ferry Building 1 Ferry Building Unit 11A San Francisco, CA  94111 United States
Udon Mugizo	Udon Restaurant	$$	37.7850886	-122.4316616	1581 Webster St, Unit 217, San Francisco, CA 94115, United States
Pineapple King Bakery	Bakery	$	37.7634022	-122.4784673	1915 Irving St, San Francisco, CA 94122, United States
San Tung	Chinese Cuisine		37.7637135	-122.4689823	1031 Irving St, San Francisco, CA 94122, United States
Bacio di Latte	Gelato Shop	$$	34.1460431	-118.1523641	85 W Colorado Blvd, Pasadena, CA  91105, United States
Sweet Please	Dessert Shop		37.3368923	-121.8886661	82 E Santa Clara St, San Jose, CA  95113, United States
Mitchell's Ice Cream	Ice Cream Shop		37.7442234	-122.4228168	688 San Jose Ave, San Francisco, CA 94110, United States
Mashti Malone's	Ice Cream Shop	$$	34.0987057	-118.344925	1525 N La Brea Ave, Los Angeles, CA  90028, United States
