idx	slug	name
1	soowon-galbi-34.0564_-118.2914	Soowon Galbi
2	elorea-34.0638_-118.2982	Elorea
3	adhor-milk-farms-historic-site-34.132_-118.147	Adhor Milk Farms historic site
4	bts-pop-up-34.0836_-118.3632	BTS Pop-Up
5	yoeechee-37.784_-122.4327	Yoeechee
6	sushi-koto-33.7003_-117.953	Sushi Koto
7	open-air-34.0836_-118.3707	Open Air
8	jun-won-dak-34.0688_-118.307	Jun Won Dak
9	devil-angel-desserts-33.8313_-118.3496	Devil & Angel Desserts
10	rok-coffee-and-tea-34.0894_-118.2769	Rok Coffee and Tea
11	mamie-34.0906_-118.3617	Mamie
12	pizzanista-34.0347_-118.2316	Pizzanista!
13	bodega-37.7849_-122.4092	Bodega
14	duc-huong-sandwiches-37.3314_-121.855	Duc Huong Sandwiches
15	garden-creamery-37.7587_-122.4204	Garden Creamery
16	stan-s-donut-shop-37.3388_-121.9729	Stan's Donut Shop
17	parachute-bakery-37.7961_-122.3939	Parachute Bakery
18	sasa-37.7852_-122.4292	Sasa
19	hog-island-oyster-co-37.7959_-122.3935	Hog Island Oyster Co.
20	udon-mugizo-37.7851_-122.4317	Udon Mugizo
21	pineapple-king-bakery-37.7634_-122.4785	Pineapple King Bakery
22	san-tung-37.7637_-122.469	San Tung
23	bacio-di-latte-34.146_-118.1524	Bacio di Latte
24	sweet-please-37.3369_-121.8887	Sweet Please
25	mitchell-s-ice-cream-37.7442_-122.4228	Mitchell's Ice Cream
26	mashti-malone-s-34.0987_-118.3449	Mashti Malone's
27	bumsan-organic-milk-bar-34.0643_-118.3089	Bumsan Organic Milk Bar
28	meadowlark-dairy-37.6603_-121.8745	Meadowlark Dairy
29	villa-s-tacos-34.1086_-118.1969	Villa's Tacos
30	sichuan-street-food-34.1447_-118.129	Sichuan Street Food
31	twinflame-37.8236_-122.2566	Twinflame
32	pan-y-cafe-33.7477_-117.8707	Pan Y Cafe
33	pine-crane-34.0905_-118.2771	Pine & Crane
34	phu-s-bakery-34.0624_-118.0729	Phu's Bakery
35	souvla-37.7745_-122.4379	Souvla
36	sun-moon-studio-37.8145_-122.2861	Sun Moon Studio
37	saltwater-bakeshop-37.7747_-122.4131	Saltwater Bakeshop
38	kuidaore-handroll-bar-37.7942_-122.2766	Kuidaore Handroll Bar
39	matcha-cafe-maiko-34.0682_-118.1338	Matcha Cafe Maiko
40	yumee-katsu-37.6944_-122.0742	Yumee Katsu
41	al-carajo-sf-37.7555_-122.4194	Al Carajo SF
42	whole-cakes-37.7867_-122.4017	Whole Cakes
43	ones-cafe-bakery-37.6954_-122.0746	Ones Cafe & Bakery
44	marufuku-ramen-37.8351_-122.2627	Marufuku Ramen
45	cheese-board-pizza-37.8799_-122.2695	Cheese Board Pizza
46	marugame-udon-37.8734_-122.2683	Marugame Udon
47	scott-s-37.7942_-122.2771	Scott's
48	the-happy-crane-37.7775_-122.4233	The Happy Crane
49	angler-37.793_-122.3923	Angler
50	miller-lux-37.7682_-122.3865	Miller & Lux
51	niku-steakhouse-37.7696_-122.4036	Niku Steakhouse
52	nisei-37.7981_-122.422	Nisei
53	khao-tiew-37.7411_-122.465	Khao Tiew
54	californios-37.7715_-122.4129	Californios
55	fu-hui-hua-37.7527_-122.4085	Fu Hui Hua
56	itani-sushi-37.8798_-122.269	Itani Sushi
57	kamado-sushi-37.8818_-122.2698	Kamado Sushi
58	comal-37.8716_-122.2687	Comal
59	sizzling-lunch-37.8725_-122.2683	Sizzling Lunch
60	tanzie-s-37.8623_-122.2815	Tanzie's
61	rice-dynasty-37.8664_-122.2589	Rice Dynasty
62	little-gem-belgian-waffles-37.8656_-122.2587	Little Gem Belgian Waffles
63	binge-coffee-house-37.8677_-122.2576	Binge Coffee House
64	hui-lau-shan-37.8681_-122.2663	Hui Lau Shan
65	butterfish-sushi-37.8685_-122.2962	Butterfish Sushi
66	fentons-creamery-37.828_-122.2501	Fentons Creamery
67	heytea-37.8709_-122.268	Heytea
68	kura-revolving-sushi-bar-37.872_-122.2682	Kura Revolving Sushi Bar
69	ippudo-37.872_-122.2674	Ippudo
70	chahalo-37.8722_-122.2696	Chahalo
71	u-dessert-story-37.8741_-122.2684	U :Dessert Story
72	great-china-37.8677_-122.2662	Great China
73	li-s-knife-cut-noodle-37.8703_-122.2672	Li's Knife Cut Noodle
74	punjabi-dhaba-37.8683_-122.258	Punjabi Dhaba
75	yume-mori-matcha-37.8673_-122.2673	Yume Mori Matcha
76	noodle-dynasty-37.8665_-122.2589	Noodle Dynasty
77	sheng-kee-bakery-37.8685_-122.2588	Sheng Kee Bakery
78	yifang-taiwan-fruit-tea-37.8686_-122.2587	Yifang Taiwan Fruit Tea
79	yogurt-park-37.8679_-122.2598	Yogurt Park
